date	DIST	FI	MAC	ELS	MULT	mktrf	smb	hml	rmw	cma	rf
31/12/2000	235.7	156.56	241.52	283.25	191.9	1.19	3.17	7.37	1.85	5.67	0.5
31/01/2001	242.51	158.79	249.53	281.6	195.04	3.13	5.8	-4.86	-4.44	-6.55	0.54
28/02/2001	247.16	159.63	252	274.79	195.51	-10.05	2.67	12.87	9	9.56	0.38
31/03/2001	250.56	160.02	258.9	269.47	195.69	-7.26	2.32	6.46	3.41	3.93	0.42
30/04/2001	253.05	162.13	260.69	271.55	198.21	7.94	-0.63	-4.72	-2.72	-3.95	0.39
31/05/2001	259.17	162.97	266.28	272.63	199.41	0.72	3.58	3.18	0.18	2.18	0.32
30/06/2001	266.05	163.79	269.03	273.78	198.85	-1.94	6.61	-1.03	2.03	-1.8	0.28
31/07/2001	268.7	165.28	270.89	271.82	200	-2.13	-2.91	5.57	7.16	3.01	0.3
31/08/2001	272.05	166.34	273.59	273.04	201.86	-6.46	2.73	2.51	3.95	6.5	0.31
30/09/2001	269.91	166.64	276.79	268.76	200.87	-9.25	-5.69	1.6	4.96	3.27	0.28
31/10/2001	276.26	169.22	280.05	266.62	202.17	2.46	5.42	-8.1	-2.66	-4.64	0.22
30/11/2001	278.35	168.76	279.02	269.56	202.93	7.54	-0.3	2.01	-3.76	-1.66	0.17
31/12/2001	282.86	169.15	285.92	272.91	202.45	1.61	5.14	1.1	0.3	-0.29	0.15
31/01/2002	287.32	170.9	293.46	271.27	202.39	-1.44	1.19	3.33	4.35	2.84	0.14
28/02/2002	285.52	172.39	295	268.59	201.84	-2.29	-0.46	2.5	7.62	5.12	0.13
31/03/2002	289.02	173.48	294.43	271.04	203.25	4.24	4.28	1.1	-1.36	0.61	0.13
30/04/2002	291.58	175.82	299.43	272.69	204.87	-5.2	6.66	3.92	4.57	5.41	0.15
31/05/2002	292.12	178.36	301.77	274.87	206.61	-1.38	-3.07	1.68	2.27	2.42	0.14
30/06/2002	281.06	179.52	306.06	271.41	206.79	-7.21	3.78	0.12	3.62	2.51	0.13
31/07/2002	269.06	181.46	312.64	263.39	204.82	-8.18	-6.24	-3.44	4.19	-0.72	0.15
31/08/2002	269.82	183.7	316.46	266.04	206.53	0.5	-1.27	2.52	1.15	-1.61	0.14
30/09/2002	269.15	181.61	318.85	264.79	208.27	-10.35	3.07	1.32	3.24	-2.28	0.14
31/10/2002	267.21	177.49	321.13	265.01	210.36	7.84	-4.12	-5.45	-3.28	0.92	0.14
30/11/2002	277.65	176.55	325.07	266.53	214.07	5.96	2.9	-1.12	-9.13	5.12	0.12
31/12/2002	280.9	178.88	327.84	268.55	215.23	-5.76	0.5	2.23	6.04	-1.59	0.11
