date	VIX	rf	SP500	chfusd	ENER	SPDIV
31/01/1999	26.25	0.361666667	1248.77	-2.87443	217.61	16.28333333
28/02/1999	27.88	0.37	1246.58	-2.09572	216.19	16.36666667
31/03/1999	23.26	0.37	1281.66	-2.41539	247	16.45
30/04/1999	25.07	0.3575	1334.76	-2.84571	282.23	16.45
31/05/1999	25.39	0.375	1332.07	-0.06102	276.85	16.45
30/06/1999	21.09	0.380833333	1322.55	-1.35857	281.03	16.45
31/07/1999	24.64	0.379166667	1380.99	3.806871	285.05	16.51333333
31/08/1999	24.45	0.393333333	1327.49	-1.5653	287.99	16.57666667
30/09/1999	25.41	0.39	1318.17	1.287294	275.08	16.64
31/10/1999	22.2	0.405	1300.01	-1.68959	271.11	16.65666667
30/11/1999	24.18	0.4225	1391	-4.12167	269.89	16.67333333
31/12/1999	24.64	0.433333333	1428.68	-0.26967	272.22	16.69
31/01/2000	24.95	0.443333333	1425.59	-4.04008	273.49	16.71333333
29/02/2000	23.37	0.4625	1388.87	-0.46411	262.42	16.73666667
31/03/2000	24.11	0.474166667	1442.21	0	293.71	16.76
30/04/2000	26.2	0.471666667	1461.36	-2.9642	290.46	16.74
31/05/2000	23.65	0.4825	1418.48	2.145186	319.9	16.72
30/06/2000	19.54	0.474166667	1461.96	2.906586	302.25	16.7
31/07/2000	20.74	0.496666667	1473	-2.22041	294.16	16.58333333
31/08/2000	16.84	0.5075	1485.46	-4.17432	322.81	16.46666667
30/09/2000	20.57	0.5	1468.05	1.028054	328.73	16.35
31/10/2000	23.63	0.509166667	1390.14	-4.01863	319.5	16.32333333
30/11/2000	29.65	0.514166667	1378.04	3.899371	302.95	16.29666667
31/12/2000	26.85	0.480833333	1330.93	7.350398	333.38	16.27
31/01/2001	22.02	0.429166667	1335.63	-1.4822	322.21	16.17
28/02/2001	28.35	0.406666667	1305.75	-1.97874	317.79	16.07
31/03/2001	28.64	0.368333333	1185.85	-4.27094	308.77	15.97
