date	fund1	fund2	fund3	fund4	fund5	fund1_qoq	fund2_qoq	fund3_qoq	fund4_qoq	fund5_qoq	mktrf	smb	hml	rf	mktrf_qoq	smb_qoq	hml_qoq	rf_qoq
28/02/1990	1.89			-0.18	2.14	-1.645037888			0.269693093	10.95156264	1.11	1.03	0.61	0.57	-5.746329766	-2.666841266	1.779671738	1.760222819
31/03/1990	5.95			0.29	-0.16	3.472428118			0.319707904	5.882278861	1.83	1.52	-2.89	0.64	-5.12207157	1.252815603	-1.457388609	1.790565794
30/04/1990	-0.73			-0.34	2.07	7.164402078			-0.230894225	4.087491123	-3.36	-0.5	-2.55	0.69	-0.499153517	2.05282772	-4.789039461	1.912022171
31/05/1990	2			-1.78	0.28	7.2800963			-1.830078449	2.192026726	8.42	-2.56	-3.73	0.68	6.69450871	-1.57351744	-8.896141824	2.023490029
30/06/1990	0.99			-0.66	2.45	2.25782846			-2.759995943	4.863513002	-1.09	1.43	-1.95	0.63	3.635017741	-1.66077496	-8.014279742	2.01335256
31/07/1990	3.03			1.79	2.99	6.13099694			-0.681717711	5.808692114	-1.9	-3.2	-0.02	0.68	5.200695782	-4.329276544	-5.626143547	2.003221131
31/08/1990	-5.86			1.12	2.39	-2.047332824			2.250709683	8.035021794	-10.15	-3.58	1.63	0.66	-12.81790707	-5.330755792	-0.371714643	1.982958274
30/09/1990	-1.82			0.36	4.85	-4.772820444			3.300596173	10.56585686	-6.12	-3.67	0.74	0.6	-17.25149242	-10.09081835	2.361585588	1.952554928
31/10/1990	1.31			-1.27	4.22	-6.362558859			0.195184794	11.88633461	-1.92	-5.53	0.29	0.68	-17.26836266	-12.25495465	2.67896998	1.952554928
30/11/1990	2.46			1.09	-1.36	1.913025487			0.165459165	7.788534488	6.35	0.32	-3.11	0.57	-2.075574496	-8.705839557	-2.109953741	1.861399256
31/12/1990	1.23			0.76	1.14	5.07899338			0.564683793	3.974557731	2.46	0.81	-1.56	0.6	6.874058768	-4.460040338	-4.344886304	1.861399256
31/01/1991	1.91	-0.37		2.11	2.35	5.701314928			4.007493792	2.108961656	4.69	3.8	-1.84	0.52	14.07672525	4.975630496	-6.376448694	1.699521784
28/02/1991	4.02	3.19		-0.04	-0.82	7.310665419			2.844881586	2.667952322	7.19	3.94	-0.54	0.48	14.97775439	8.763626732	-3.893091002	1.608510976
31/03/1991	3.82	4.16		1.64	1.47	10.05624107	7.085017995		3.743090158	3.002937731	2.65	3.9	-1.24	0.44	15.19096709	12.09741908	-3.580675206	1.446906982
30/04/1991	0.82	5.78		-0.13	-1.22	8.879111225	13.69520429		1.467264853	-0.589836941	-0.28	0.51	1.4	0.53	9.722449502	8.544427666	-0.398130256	1.456999194
31/05/1991	2.33	0.59		-1.94	1.2	7.110165849	10.83051264		-0.461384639	1.434850792	3.65	-0.34	-0.56	0.47	6.09881417	4.074828374	-0.418158784	1.44690196
30/06/1991	0.48	-0.86		0.45	0.14	3.664317709	5.489026723		-1.626781651	0.105311504	-4.94	0.07	1.21	0.42	-1.746193132	0.238383786	2.052229136	1.426701462
31/07/1991	3.18	1.09		1.24	0.06	6.090897651	0.811927693		-0.277314252	1.402485008	4.24	-0.95	-1.27	0.49	2.707348856	-1.217670739	-0.634944945	1.386344673
31/08/1991	3.46	-0.17		-1.27	5.25	7.262428134	0.050250936		0.404046134	5.46058841	2.32	1.59	-0.79	0.46	1.389444621	0.695332426	-0.864771601	1.376253467
30/09/1991	2.43	3.38		1.26	0.45	9.34405368	4.329180369		1.213675575	5.787059175	-1.59	1.63	-0.98	0.46	4.962499949	2.265080789	-3.009877323	1.416634368
31/10/1991	1.71	3.82		1.47	1.23	7.786234734	7.146656503		1.443615771	7.024025587	1.29	0.9	-0.44	0.42	1.992053145	4.175130253	-2.194504065	1.345988887
30/11/1991	-0.86	0.39		-1.49	2.09	3.285591644	7.747699552		1.217569022	3.810762681	-4.19	-0.47	-1.91	0.39	-4.497081589	2.062710051	-3.298648359	1.275371535
31/12/1991	4.28	1.9		0	1.27	5.151044583	6.205171062		-0.041903	4.658197479	10.84	-2.24	-4.04	0.38	7.565729872	-1.823767248	-6.286995522	1.194722224
31/01/1992	2.44	0.72	7.25	0.22	6.29	5.905741885	3.033951352		-1.273278	9.889556555	-0.59	8.45	4.5	0.34	5.569248756	5.522422616	-1.63711362	1.114105039
29/02/1992	4.21	5.62	-1.88	-0.15	0.47	11.32174059	8.401692816		0.06967	8.14579045	1.09	0.88	6.36	0.28	11.38707188	6.953702336	6.65589352	1.003311618
31/03/1992	1.19	-2.09	-2.98	0.92	-2.83	8.023081416	4.157112302	2.09773574	0.990310964	3.767418367	-2.66	-1.03	3.66	0.34	-2.179559935	8.277495092	15.21415092	0.963063237
30/04/1992	7.85	0.68	-10.22	-0.53	0.5	13.72793177	4.115747286	-14.53300965	0.234546314	-1.885167505	1.07	-6.12	4.28	0.32	-0.546103236	-6.269329283	14.97159481	0.942939046
31/05/1992	-4.04	2.08	-0.49	0.11	2.4	4.724425034	0.62616439	-13.32225632	0.495547636	-0.0004096	0.3	0.4	1.27	0.28	-1.323317386	-6.715311856	9.46947543	0.942939046
30/06/1992	-2.68	-4.57	-3.6	-0.15	-0.91	0.719251352	-1.922634381	-13.87616481	-0.569952125	1.9755008	-2.34	-3.09	3.41	0.32	-0.998923114	-8.656975568	9.20546454	0.922818867
31/07/1992	0.63	6.84	-4.18	1.34	1.44	-6.023381886	4.07812617	-8.082135352	1.299296789	2.929301504	3.77	-0.44	-0.53	0.31	1.645807346	-3.130469616	4.168273473	0.912758778
31/08/1992	0.69	-0.16	-2.35	-1.36	-0.02	-1.3911455	1.794280141	-9.80022628	-0.188166664	0.496792621	-2.38	-0.11	-1.04	0.26	-1.070152412	-3.622535956	1.792162959	0.892632579
30/09/1992	8.3	0.22	-4.61	1.95	2.46	9.734267801	6.903727923	-10.7452654	1.911030632	3.914636915	1.19	0.56	-0.21	0.26	2.505747261	0.00740671	-1.771202575	0.832290096
31/10/1992	4.57	2.77	10.17	-1.99	0.51	14.03073024	2.83130025	2.621520669	-1.437733252	2.961949491	1.02	2.04	-2.1	0.23	-0.210748884	2.498551434	-3.321611864	0.751873555
30/11/1992	2.78	1.71	1.94	0.42	-1.33	16.39764082	4.757327207	7.129931562	0.340864019	1.612878138	4.13	3.69	-1.48	0.23	6.443912299	6.397785546	-3.751467268	0.721726375
31/12/1992	3.09	7.27	-4.29	2.61	2.14	10.79808672	12.12650658	7.489314916	0.990446856	1.295523844	1.53	1.65	2.51	0.28	6.801565528	7.551063054	-1.127997892	0.741818481
31/01/1993	2.29	2.49	-23.95	2.18	3.69	8.382292156	11.82101449	-25.80046837	5.287254972	4.500376752	0.93	2.05	5.89	0.23	6.706414658	7.561603143	6.941330983	0.741818481
28/02/1993	2.76	1.29	5.5	2.36	-0.03	8.361202004	11.3592622	-23.20923498	7.321284793	5.87719331	0.12	-3.44	6.42	0.22	2.597198075	0.16538142	15.51661026	0.731767417
31/03/1993	3.57	6.31	25.1	0.93	2.29	8.865745383	10.36266584	0.37117025	5.564148466	6.03268165	2.3	0.24	1.24	0.25	3.375291668	-1.224025248	14.08547091	0.701632265
30/04/1993	3.09	-1.84	8.94	1.46	0.09	9.717173639	5.700061258	43.7795567	4.820302441	2.351346382	-3.05	-0.7	2.61	0.24	-0.70113418	-3.885798208	10.55161177	0.71167932
31/05/1993	2.54	-1.75	4.6	-0.57	-2.87	9.48227895	2.52770282	42.55300124	1.819877605	-0.556304151	2.89	1.96	-3.41	0.22	2.046147665	1.489271072	0.339975388	0.71167932
30/06/1993	6.01	2.03	-2.18	1.7	5.78	12.06156601	-1.60002334	11.46710297	2.596666526	2.836583703	0.31	-0.3	2.61	0.25	0.061085751	0.94254116	1.697796074	0.71167932
31/07/1993	3.48	0.85	27.64	0.69	-1.55	12.48550636	1.096553038	30.60089061	1.818040139	1.151580233	-0.34	0.93	3.25	0.24	2.858048539	2.599503316	2.332106467	0.71167932
31/08/1993	2.92	5.36	-11.81	0.24	0.95	12.90236312	8.412547868	10.11178339	2.647494152	5.129743895	3.71	0.32	-0.45	0.25	3.677793897	0.949217072	5.468073288	0.7418265
30/09/1993	-0.19	4.83	-20.51	0.61	1.72	6.29926293	11.38770355	-10.52151235	1.547339102	1.09470173	-0.12	3.12	-0.44	0.26	3.233357137	4.412068851	2.33311935	0.75187556
31/10/1993	3.65	1.05	12.64	-0.33	1.18	6.473894498	11.60860132	-21.036847	0.518654169	3.898038812	1.41	1.45	-1.55	0.22	5.046104227	4.950008768	-2.42425569	0.73177343
30/11/1993	-1.26	-0.28	2.67	-0.2	1.73	2.149556381	5.634108998	-8.071811789	0.077431026	4.700817121	-1.89	-1.43	-0.27	0.25	-0.626041021	3.119242068	-2.247825414	0.73177343
31/12/1993	7.62	0.08	31.45	0.73	3.79	10.14262356	0.847673648	52.01862298	0.196795818	6.831476691	1.65	1.22	0.57	0.23	1.134991291	1.219256033	-1.256165145	0.701632265
31/01/1994	3.16	8.76	4.81	0.06	2.28	9.621930021	8.542236378	41.45127729	0.588857124	7.992917928	2.87	0.13	2.08	0.25	2.59103199	-0.09774168	2.384668989	0.731776437
28/02/1994	-3.69	0.36	5.32	1.09	-5.16	6.924124775	9.238857229	45.10225503	1.889053774	0.678741141	-2.55	2.73	-1.44	0.21	1.900887447	4.118484298	1.183525274	0.691584207
31/03/1994	-2.01	-2.38	2.5	0.17	0.11	-2.64360726	6.553729443	13.1455393	1.322610112	-2.890945413	-4.78	-0.97	1.32	0.27	-4.544982757	1.865772575	1.938100634	0.731768418
30/04/1994	-0.06	0.02	-1.12	-0.43	-3.24	-5.682455501	-2.008973714	6.7439264	0.826427032	-8.131872098	0.68	-0.92	1.68	0.27	-6.577125148	0.797570625	1.538656666	0.751864531
31/05/1994	1.63	3.01	20.71	0.14	2.33	-0.472515342	0.578473672	22.3419992	-0.121096023	-0.876576041	0.58	-2.02	0.19	0.31	-3.576472523	-3.863078265	3.217918134	0.85240526
30/06/1994	-0.83	1.26	2.92	1.42	4.04	0.725999117	4.328787585	22.843303	1.125271452	3.014694123	-3.03	-0.47	1.68	0.31	-1.804353503	-3.377685345	3.584661626	0.892637595
31/07/1994	1.21	3.5	5.88	0.48	1.71	2.005987299	7.95870341	31.53973424	2.049485542	8.284668657	2.82	-1.72	0.6	0.28	0.282840413	-4.157841297	2.484431152	0.902699691
31/08/1994	2.29	2.1	-2.15	-0.09	1.73	2.668429015	7.0049861	6.628804536	1.815099866	7.649754153	4.01	1.33	-2.82	0.37	3.702706615	-0.880935483	-0.594500256	0.963054212
