main_strategy	date	id	management_fee	incentive_fee	high_watermark	firm_id	strategy_code	performance	nav	assets	mktrf	smb	hml	rf
0	19920131	468	2	20	1	232	3	7.25			-0.59	8.45	4.5	0.34
0	19920229	468	2	20	1	232	3	-1.88			1.09	0.88	6.36	0.28
0	19920331	468	2	20	1	232	3	-2.98			-2.66	-1.03	3.66	0.34
0	19920430	468	2	20	1	232	3	-10.22			1.07	-6.12	4.28	0.32
0	19920531	468	2	20	1	232	3	-0.49			0.3	0.4	1.27	0.28
0	19920630	468	2	20	1	232	3	-3.6			-2.34	-3.09	3.41	0.32
0	19920731	468	2	20	1	232	3	-4.18			3.77	-0.44	-0.53	0.31
0	19920831	468	2	20	1	232	3	-2.35			-2.38	-0.11	-1.04	0.26
0	19920930	468	2	20	1	232	3	-4.61			1.19	0.56	-0.21	0.26
0	19921031	468	2	20	1	232	3	10.17			1.02	2.04	-2.1	0.23
0	19921130	468	2	20	1	232	3	1.94			4.13	3.69	-1.48	0.23
0	19921231	468	2	20	1	232	3	-4.29			1.53	1.65	2.51	0.28
0	19930131	468	2	20	1	232	3	-23.95			0.93	2.05	5.89	0.23
0	19930228	468	2	20	1	232	3	5.5			0.12	-3.44	6.42	0.22
0	19930331	468	2	20	1	232	3	25.1			2.3	0.24	1.24	0.25
0	19930430	468	2	20	1	232	3	8.94			-3.05	-0.7	2.61	0.24
0	19930531	468	2	20	1	232	3	4.6			2.89	1.96	-3.41	0.22
0	19930630	468	2	20	1	232	3	-2.18			0.31	-0.3	2.61	0.25
0	19930731	468	2	20	1	232	3	27.64			-0.34	0.93	3.25	0.24
0	19930831	468	2	20	1	232	3	-11.81			3.71	0.32	-0.45	0.25
0	19930930	468	2	20	1	232	3	-20.51			-0.12	3.12	-0.44	0.26
0	19931031	468	2	20	1	232	3	12.64			1.41	1.45	-1.55	0.22
0	19931130	468	2	20	1	232	3	2.67			-1.89	-1.43	-0.27	0.25
0	19931231	468	2	20	1	232	3	31.45			1.65	1.22	0.57	0.23
0	19940131	468	2	20	1	232	3	4.81			2.87	0.13	2.08	0.25
0	19940228	468	2	20	1	232	3	5.32			-2.55	2.73	-1.44	0.21
0	19940331	468	2	20	1	232	3	2.5			-4.78	-0.97	1.32	0.27
0	19940430	468	2	20	1	232	3	-1.12			0.68	-0.92	1.68	0.27
0	19940531	468	2	20	1	232	3	20.71			0.58	-2.02	0.19	0.31
0	19940630	468	2	20	1	232	3	2.92			-3.03	-0.47	1.68	0.31
0	19940731	468	2	20	1	232	3	5.88			2.82	-1.72	0.6	0.28
0	19940831	468	2	20	1	232	3	-2.15			4.01	1.33	-2.82	0.37
0	19940930	468	2	20	1	232	3	2.29			-2.31	2.82	-1.91	0.37
0	19941031	468	2	20	1	232	3	4.13			1.34	-2.36	-1.74	0.38
0	19941130	468	2	20	1	232	3	-2.17			-4.04	0.27	-0.95	0.37
0	19941231	468	2	20	1	232	3	5.07			0.86	0.03	0.53	0.44
0	19950131	468	2	20	1	232	3	-4.87			1.8	-2.65	0.81	0.42
0	19950228	468	2	20	1	232	3	-2.61			3.63	-0.69	1.04	0.4
0	19950331	468	2	20	1	232	3	4.77			2.19	-0.7	-1.06	0.46
0	19950430	468	2	20	1	232	3	2.36			2.11	-0.63	2.25	0.44
0	19950531	468	2	20	1	232	3	-1.42			2.9	-2.2	1.68	0.54
0	19950630	468	2	20	1	232	3	-4.04			2.72	2.93	-2.27	0.47
0	19950731	468	2	20	1	232	3	3.38			3.72	2.09	-1.69	0.45
0	19950831	468	2	20	1	232	3	3.76			0.55	1.6	2.72	0.47
0	19950930	468	2	20	1	232	3	5.16			3.35	-2.11	-0.76	0.43
0	19951031	468	2	20	1	232	3	3.03			-1.52	-3.74	-0.75	0.47
0	19951130	527	1.5	20	1	224	3	0.49			3.96	-1.17	0.95	0.42
0	19951231	527	1.5	20	1	224	3	2.115			1.03	0.57	0.86	0.49
0	19960131	7403	1.5	13.33333333	1	274	3	4.483333333	103.87	21.61	2.26	-2.61	0.32	0.43
0	19960229	7403	1.5	13.33333333	1	274	3	-1.816666667	95.55	23.765	1.33	1.87	-1.44	0.39
0	19960331	7403	1.5	13.33333333	1	274	3	1.813933333	97.95	27.13	0.73	1.3	0.99	0.39
0	19960430	7403	1.5	13.33333333	1	274	3	3.693	103.16	28.26	2.06	4.92	-3.9	0.46
0	19960531	7403	1.5	13.33333333	1	274	3	0.200166667	103.47	28.48	2.36	3.04	-1.21	0.42
0	19960630	7403	1.5	13.33333333	1	274	3	-1.328466667	103.63	32.07	-1.14	-3.58	1.55	0.4
0	19960731	7403	1.5	13.33333333	1	274	3	-1.0334	99.64	32.13	-5.97	-3.84	4.42	0.45
0	19960831	7403	1.5	13.33333333	1	274	3	3.1549	100.95	32.155	2.77	2.29	-0.43	0.41
0	19960930	7403	1.5	13.33333333	1	274	3	1.158866667	107.69	33.795	5.01	-0.87	-3.13	0.44
0	19961031	7403	1.5	13.33333333	1	274	3	-1.074266667	112.49	33.275	0.86	-4.47	5.1	0.42
0	19961130	7403	1.5	13.33333333	1	274	3	4.406833333	119.24	36.695	6.25	-3.91	1.21	0.41
0	19961231	7403	1.5	13.33333333	1	274	3	-1.2814	118.77	40.16	-1.7	3.21	0.86	0.46
0	19970131	7403	1.5	13.33333333	1	274	3	4.070333333	122.94	49.875	4.98	-1.84	-1.65	0.45
0	19970228	7403	1.5	13.33333333	1	274	3	3.7904	123.63	58.72	-0.49	-2.9	5.18	0.39
0	19970331	6516	1.5	13.33333333	0.75	272	3	1.151575	5080.75125	47.32333333	-5.02	-0.38	3.78	0.43
0	19970430	6516	1.5	13.33333333	0.75	272	3	0.278875	5142.4209	50.64333333	4.04	-5.64	-0.07	0.43
0	19970531	6516	1.5	13.33333333	0.75	272	3	1.8036	5217.3194	58.54333333	6.74	4.92	-3.91	0.49
0	19970630	6516	1.5	13.33333333	0.75	272	3	-0.415125	5106.3877	62.38333333	4.1	1.35	1.21	0.37
0	19970731	6516	1.5	13.33333333	0.75	272	3	5.971725	5797.2345	90.09666667	7.33	-2.79	0.85	0.43
0	19970831	6516	1.5	13.33333333	0.75	272	3	-2.30045	5653.0072	88.38	-4.15	7.29	1.37	0.41
0	19970930	6496	1.5	15	0.8	628.4	3	0.47554	5562.0052	67.785	5.35	2.61	0.01	0.44
0	19971031	6496	1.5	15	0.8	628.4	3	-1.32578	5430.99905	80.76	-3.8	-0.66	1.94	0.42
0	19971130	7973	1.666666667	13.33333333	0.75	731.5	3	1.1824	5406.11465	82.43666667	2.98	-4.96	0.77	0.39
0	19971231	7973	1.666666667	13.33333333	0.75	731.5	3	1.986525	5527.4971	85.87333333	1.32	-2.32	3.45	0.48
0	19980131	7973	1.666666667	13.33333333	0.75	731.5	3	3.164925	5388.39905	109.3033333	0.15	-1.16	-1.43	0.43
0	19980228	7973	1.666666667	13.33333333	0.75	731.5	3	0.295475	5398.96065	110.83	7.04	0.01	-0.15	0.39
0	19980331	7973	1.666666667	13.33333333	0.75	731.5	3	1.216625	5342.82045	117.46	4.76	-0.93	1.03	0.39
0	19980430	7973	1.666666667	13.33333333	0.75	731.5	3	-4.731025	4669.8536	116.3	0.73	0.22	0.78	0.43
0	19980531	7973	1.666666667	13.33333333	0.75	731.5	3	-3.07915	154.28	124.0133333	-3.07	-3.75	4.15	0.4
0	19980630	7973	1.666666667	13.33333333	0.75	731.5	3	-2.866675	151.94	125.86	3.18	-3.14	-2.34	0.41
0	19980731	7973	1.666666667	13.33333333	0.75	731.5	3	-4.666775	153.95	126.6866667	-2.46	-5.13	-0.98	0.4
