date	SP500	SPDIV	USRF	MXEF	CL1	UKX	BTCUSD
31/01/1962	69.07	2.02667	2.72				
28/02/1962	70.22	2.03333	2.73				
31/03/1962	70.29	2.04	2.72				
30/04/1962	68.05	2.04667	2.73				
31/05/1962	62.99	2.05333	2.69				
30/06/1962	55.63	2.06	2.73				
31/07/1962	56.97	2.06667	2.92				
31/08/1962	58.52	2.07333	2.82				
30/09/1962	58	2.08	2.78				
31/10/1962	56.17	2.09667	2.74				
30/11/1962	60.04	2.11333	2.83				
31/12/1962	62.64	2.13	2.87				
31/01/1963	65.06	2.13667	2.91				
28/02/1963	65.92	2.14333	2.92				
31/03/1963	65.67	2.15	2.89				
30/04/1963	68.76	2.16667	2.9				
31/05/1963	70.14	2.18333	2.93				
30/06/1963	70.11	2.2	2.99				
31/07/1963	69.07	2.20333	3.18				
31/08/1963	70.98	2.20667	3.32				
30/09/1963	72.85	2.21	3.38				
31/10/1963	73.03	2.23333	3.45				
30/11/1963	72.62	2.25667	3.52				
31/12/1963	74.17	2.28	3.52				
31/01/1964	76.45	2.29667	3.52				
29/02/1964	77.39	2.31333	3.53				
31/03/1964	78.8	2.33	3.54				
30/04/1964	79.94	2.34667	3.47				
31/05/1964	80.72	2.36333	3.48				
30/06/1964	80.24	2.38	3.48				
31/07/1964	83.22	2.4	3.46				
31/08/1964	82	2.42	3.5				
30/09/1964	83.41	2.44	3.53				
31/10/1964	84.85	2.46	3.57				
30/11/1964	85.44	2.48	3.64				
31/12/1964	83.96	2.5	3.84				
31/01/1965	86.12	2.51667	3.81				
28/02/1965	86.75	2.53333	3.93				
31/03/1965	86.83	2.55	3.93				
30/04/1965	87.97	2.57	3.93				
31/05/1965	89.28	2.59	3.89				
30/06/1965	85.04	2.61	3.8				
31/07/1965	84.91	2.62667	3.84				
31/08/1965	86.49	2.64333	3.84				
30/09/1965	89.38	2.66	3.92				
31/10/1965	91.39	2.68	4.03				
30/11/1965	92.15	2.7	4.09				
31/12/1965	91.73	2.72	4.38				
31/01/1966	93.32	2.74	4.59				
28/02/1966	92.69	2.76	4.65				
31/03/1966	88.88	2.78	4.59				
30/04/1966	91.6	2.79667	4.62				
31/05/1966	86.78	2.81333	4.64				
30/06/1966	86.06	2.83	4.5				
31/07/1966	85.84	2.85	4.8				
31/08/1966	80.65	2.87	4.96				
30/09/1966	77.81	2.89	5.37				
31/10/1966	77.13	2.88333	5.35				
30/11/1966	80.99	2.87667	5.32				
31/12/1966	81.33	2.87	4.96				
31/01/1967	84.45	2.88	4.72				
28/02/1967	87.36	2.89	4.56				
31/03/1967	89.42	2.9	4.26				
30/04/1967	90.96	2.9	3.84				
31/05/1967	92.59	2.9	3.6				
30/06/1967	91.43	2.9	3.54				
31/07/1967	93.01	2.90667	4.21				
31/08/1967	94.49	2.91333	4.27				
30/09/1967	95.81	2.92	4.42				
31/10/1967	95.66	2.92	4.56				
30/11/1967	92.66	2.92	4.73				
31/12/1967	95.3	2.92	4.97				
31/01/1968	95.04	2.93	5				
29/02/1968	90.75	2.94	4.98				
31/03/1968	89.09	2.95	5.17				
30/04/1968	95.67	2.96333	5.38				
31/05/1968	97.87	2.97667	5.66				
30/06/1968	100.5	2.99	5.52				
31/07/1968	100.3	3.00333	5.31				
31/08/1968	98.11	3.01667	5.09				
30/09/1968	101.3	3.03	5.19				
31/10/1968	103.8	3.04333	5.35				
30/11/1968	105.4	3.05667	5.45				
31/12/1968	106.5	3.07	5.96				
31/01/1969	102	3.08	6.14				
28/02/1969	101.5	3.09	6.12				
31/03/1969	99.3	3.1	6.02				
30/04/1969	101.3	3.11	6.11				
31/05/1969	104.6	3.12	6.04				
30/06/1969	99.14	3.13	6.44				
31/07/1969	94.71	3.13667	7				
31/08/1969	94.18	3.14333	6.98				
30/09/1969	94.51	3.15	7.09				
31/10/1969	95.52	3.15333	7				
30/11/1969	96.21	3.15667	7.24				
31/12/1969	91.11	3.16	7.82				
31/01/1970	90.31	3.16333	7.87				
28/02/1970	87.16	3.16667	7.13				
31/03/1970	88.65	3.17	6.63				
30/04/1970	85.95	3.17333	6.51				
31/05/1970	76.06	3.17667	6.84				
30/06/1970	75.59	3.18	6.68				
31/07/1970	75.72	3.18333	6.45				
